A12184201,서교동대우미래사랑,서울특별시 마포구 월드컵북로5나길 18
A12185003,SH성산아파트,서울특별시 마포구 월드컵로 207
A12185004,성산시영아파트,서울특별시 마포구 월드컵북로 260
A12185303,신공덕삼성1차,서울특별시 마포구 백범로37길 12
A12185602,신수세양청마루,서울특별시 마포구 독막로 209
A12185603,신수현대,서울특별시 마포구 토정로 242
A12185605,대원칸타빌,서울특별시 마포구 창전로2길 10
A12185606,마포신촌삼익아파트,서울특별시 마포구 신수로 105
A12186901,코오롱하늘채,서울특별시 마포구 연남로 52
A12187403,염리상록,서울특별시 마포구 숭문길 106
A12187501,래미안마포리버웰,서울특별시 마포구 토정로31길 23
A12187602,래미안용강아파트,서울특별시 마포구 큰우물로 28
A12187703,성산2차현대,서울특별시 마포구 성암로7길 3
A12187901,중동계룡,서울특별시 마포구 월드컵북로38가길 20
A12187902,건영월드컵,서울특별시 마포구 성암로 41
A12187904,DMC마포청구아파트,서울특별시 마포구 성암로11길 60
A12187905,마포중동현대,서울특별시 마포구 성암로 91
A12187906,월드컵참누리,서울특별시 마포구 월드컵북로38길 54
A12188201,신촌금호,서울특별시 마포구 서강로9길 19
A12188202,창전현대홈타운,서울특별시 마포구 서강로 83
A12188205,신촌태영데시앙,서울특별시 마포구 서강로9길 45
A12201001,대주피오레아파트,서울특별시 은평구 백련산로 6
A12201002,백련산힐스테이트2차,서울특별시 은평구 백련산로 38
A12201003,백련산힐스테이트1차,서울특별시 은평구 백련산로2길 19
A12201004,백련산힐스테이트임대,서울특별시 은평구 백련산로2길 19
A12201005,녹번역센트레빌,서울특별시 은평구 백련산로 160
A12201101,응암신동아,서울특별시 은평구 백련산로 127
A12201102,응암금호,서울특별시 은평구 응암로 318
A12201103,응암푸르지오,서울특별시 은평구 백련산로 146
A12204003,북한산힐스테이트1차,서울특별시 은평구 불광로2길 33
A12204005,북한산래미안아파트(임대),서울특별시 은평구 불광로2길 41
A12204006,불광롯데캐슬,서울특별시 은평구 불광로 64
A12204102,북한산현대홈타운,서울특별시 은평구 불광로2길 16
A12205001,갈현미미,서울특별시 은평구 갈현로29길 11
A12205003,갈현1단지e-편한세상,서울특별시 은평구 서오릉로21길 47
A12208001,신사두산위브,서울특별시 은평구 갈현로1길 36
A12208002,신사이랜드타운,서울특별시 은평구 은평터널로 121-6
A12208101,신사성원,
A12208102,신사씨티,서울특별시 은평구 가좌로 391
A12208103,신사한신휴플러스,서울특별시 은평구 갈현로1길 31
A12208104,신사라이프씨티,서울특별시 은평구 갈현로3다길 15
A12208105,신사현대2차,서울특별시 은평구 가좌로 344
A12208204,새절역현대아파트,서울특별시 은평구 은평터널로 164
A12208205,신사미성,서울특별시 은평구 증산로15길 35-10
A12209001,DMC청구,
A12220001,은평뉴타운상림마을6단지 제1아파트,서울특별시 은평구 진관4로 78-7
A12220002,은평뉴타운상림마을13단지,서울특별시 은평구 진관4로 48-50
A12220003,은평뉴타운상림마을2단지,서울특별시 은평구 진관4로 37
A12220004,은평뉴타운상림마을12단지,서울특별시 은평구 진관3로 70
A12271402,갈현베르빌주상복합아파트,서울특별시 은평구 연서로 149
A12275201,북한산래미안,서울특별시 은평구 진흥로 267
A12276901,구산그린빌,서울특별시 은평구 갈현로7길 56
A13114201,묵동동구햇살,서울특별시 중랑구 동일로169길 41
A13120001,면목마젤란,서울특별시 중랑구 겸재로30길 42
A13120403,면목경남아너스빌,서울특별시 중랑구 답십리로75길 73
A13120701,용마산금호어울림,서울특별시 중랑구 용마산로 290
A13120704,면목금호어울림,서울특별시 중랑구 용마산로 271
A13122001,상봉건영캐스빌,서울특별시 중랑구 상봉중앙로8길 76
A13122002,상봉프레미어스엠코,서울특별시 중랑구 망우로 353
A13122104,상봉태영데시앙,서울특별시 중랑구 상봉중앙로8길 104
A13123001,예성그린캐슬아파트,서울특별시 중랑구 용마산로112가길 34
A13123101,망우신원,서울특별시 중랑구 망우로 504-7
A13123102,중랑숲금호어울림,서울특별시 중랑구 양원역로 18
A13170401,한일써너스빌아파트,서울특별시 중랑구 망우로 346
A13175103,면목한신,서울특별시 중랑구 중랑천로 20
A13176101,한일써너스빌리젠시,서울특별시 중랑구 용마산로115길 127
A13176801,묵동극동늘푸른아파트,서울특별시 중랑구 동일로 941
A13176901,신내6단지,서울특별시 중랑구 신내로19길 42
A13176902,신내9단지임대,서울특별시 중랑구 신내로 127
A13177701,면목,서울특별시 중랑구 용마산로 228
A13178101,신내데시앙,서울특별시 중랑구 용마산로 669
A13181201,면목신성미소지움,서울특별시 중랑구 용마산로86길 9-27
A13181203,용마금호타운,서울특별시 중랑구 용마산로 348
A13202002,대상타운현대,서울특별시 도봉구 마들로 616
A13202103,방학삼성래미안2단지,서울특별시 도봉구 도봉로150길 42
